,condition,date,description,engine hours (total),id,length overall (LOA),make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,2016-11-25 18:23,"Super fishing package and fully loaded. Water and fish ready. Scared cat fast and will get you from point A to B in a hurry. Speedometer does not work (factory type and may just be a tubing leak) but GPSed at 60+. Rock solid on the water. This is a package that was built by Tracker for Nitro. I will consider selling just the boat and trailer without the motor for $5,200.00 if you've got your own power. Boat is rated for up to 175 HP. The boat: 2000 Nitro by Tracker. Very well kept. All new seats. (plus 2 used spare seats. One with back and no post. One with no back and a tall post) Loads of storage compartments. New Humminbird 197c fishfinder at console and factory Tracker Pro 128 at the bow. Motor Guide Tracker 60, 12/24 volt trolling motor. On board 2 bank battery charger. Two bilge pumps. One factory and one new automatic.  Two live well pumps. One is new.  Detailed wiring. Three location trim controls. New dual steering cables. Well accented dash with water temp, fuel, volts, trim, water pressure, tack, speedo,  40 gallon gas tank and large oil tank for oil injection. Good on gas too. Current registration and clear title for boat. The motor: Mercury XR6 150 HP. Stainless steel prop. Recent maintenance included new plugs, impeller and lower unit lube. Starts easy and runs smooth. The Trailer: Two new wheels and tires. (700 miles) Two spares. Surge disc brakes. New breakaway safety cable. Bearing buddies with covers. Swing away tongue. Detailed wiring. New heavy duty transom saver. ""UPDATE"" - Clear title now in my name. I went way over budget when purchasing this package and doing upgrades this Summer to take to Canada but just can't afford to keep it. I'm only a bit negotiable when looking at cash because the season is still strong. You need to SEE this setup so don't bother with offers unless in person.",,5879992424,18,Nitro by Tracker,,NX882,$8250,power, (Tunkhannock),"""UPDATE"" - 2000 Nitro NX882 Bass Boat with 150 Mercury XR6",https://scranton.craigslist.org/boa/5879992424.html,2000
1,fair,2016-11-25 16:13,"Triton Tr21 Bassboat 175 Evinrude Intruder  motor runs fine, has some dock rash but is still a very sound rig, replaced starter,rectifier,bendix recently. Has Minn Kota Maxxum 24v trolling motor, 4 good batteries, all pumps work, newer carpet and seats. 54 Gallon fuel cell. Trailer has 4 brand new tires, all lights work. Boat will run mid to upper 50''s with full tournament load (2 guys,full livewells, 25 gallons of gas ect) Great starter boat. Call or Text show contact info for details or pictures.",,5892087479,21,Triton,"https://maps.google.com/maps/preview/@39.991838,-78.358216,16z",Tr21,$4000,power, (Everett PA),Triton Tr21 Bass Boat,https://scranton.craigslist.org/boa/5892087479.html,1999
2,excellent,2016-11-25 12:04,"Nice 14 Ft Jon Boat With Suzuki 9.9 Oars, 2 Tanks, Seats, Bilge pump, Trolling Motor. Venture Trailer. Used 5 times. Great Hunting Boat Call show contact info Leave Message. 3000.00 OBO",6,5868607661,14,Alumicraft,,Jon Boat,$3000,power, (Centreville MD),2008 Alumicraft 14 FT Jon Boat,https://scranton.craigslist.org/boa/5868607661.html,2008
3,like new,2016-11-25 06:09,"2011 & 2012 Yamaha VXR (1812cc) Jet Ski's with Double Trailer, very low hours on both jet ski's. Would be willing to sell individually. Jet Ski's are in mint condition. $15,000 (Wilkes Barre Area) Call or Text show contact info",,5874399011,1,Yamaha,,VXR,$15000,power, (Wilkes Barre),2011 and  2012 Yamaha VXR Jet Ski's with Trailer,https://scranton.craigslist.org/boa/5874399011.html,
4,like new,2016-11-24 22:16,"HELLO I'M LOOKING TO TRADE MY 2005 HARLEY-DAVIDSON FLSTC HERITAGE SOFTAIL CLASSIC FOR A BOAT I,M LOOKING FOR A 18 TO 20 FOOT BOWRIDER TYPE BOAT  LET ME TELL YOU ABOUT MY BIKE I BOUGHT IT FROM THE FIRST OWNER  IT ONLY HAS 13,150 MILES  IT IS IN LIKE NEW CONDITION IT HAS THE TWO TONE PAINT SMOKEY GOLD PEARL WITH VIVID BLACK REALLY SHARP WITH LOTS OF CHROME IT HAS FACTORY TOURING HANDLE BARS AND PASSENGER BACKREST DETACHABLE KING SIZE WINDSHIELD BLACK POWDER COATED ENGHINE WITH CHROME COVERS LEATHER SADDLE BAGS WITH QUICK DETACH BUCKLES HARDTAIL STYLING WITH HIDDEN HORIZONTAL SHOCKS CHROME PLATED LIGHT BAR CHROME PASSING LAMPS  5 SPEED TRANS WITH TRANS BELT DRIVE CHROME LACED WHEELS FRONT AND BACK FOOTBOARDS FACTORY ALARM GARMIN GPS BOSS BLUETHOOTH SPEAKER SYSTEM COMES WITH TWO SOFT LUGGAGE TOURING BAGS TWO COVERS TRICKLE CHARGER ALLWAYS GARGE KEPT NEW BRAKE PADS FRONT AND BACK  PA. INSPECTION GOOD UNTILL AUGUST 2017",,5887737025,0,H.d.softail heritage softail,https://maps.google.com/?q=loc%3A+Pocasset+road+PHILADELPHIA+PA+US,,$10500,power, (N.E.Philadelphia),TRADE MY 2005 Harley-Davidson Heritage softail Classic,https://scranton.craigslist.org/boa/5887737025.html,
5,excellent,2016-11-24 11:17,"I am selling my Bass Tracker Sweet 16 Pro due to health reasons( CANCER ). It is a very stable 16' Deep V In Very good condition: It is equipped with a 50HP Mercury outboard motor, not oil injected,  that starts and runs perfectly. It has Power tilt and Trim. New Complete Water  Pump, Fresh Lower Unit Grease, New complete Tune up , 115 LB Compression in all Cylinders. Prop has no nicks or bends.  The boat sits on a Shoreland'r Galvanized Trailer with step up bumpers, Trailer boat Guides, New Bunks with slides, tires in perfect condition with mounted new spare. No rust. All lights work as they should. It has a brand new, never used remote control electric winch. If you prefer I do have the manual one that is fairly new instead. Bearings removed, cleaned, inspected re packed and replaced with buddy bearings. The boat is a 16' Ft Deep V with new floor, new wiring, new bilge pump. new fish well pump with storage. It includes a 6 gallon fuel tank with new fuel lines, 1 yr old marine starting battery. Fairly new Fish Finder. 3 Seats, Fire extinguisher, throw cushion, whistle, bailer, life preservers, everything required for safety. Oar and expandable boat hook. It has a 55 LB, 12 V, bow Mount Motor Guide trolling motor, used 2 times. A 1 year old Marine Deep Cycle Trolling Motor Battery. I have 50 years of odds and ends laying around that you are welcome to take. I am afraid my boating days are numbered. It has the mounting bows for a cover, but no cover other than a tarp. I guess that gives you a general idea of what is for sale. Boat Hull in perfect condition, no dents or scratches. I am offering you a Boat, motor and trailer READY for the road and water in very good condition. Please No Low Ball Offers or trades. $4,700 You will get more than what you pay for !!!",,5851605450,16,Tracker,https://maps.google.com/?q=loc%3A+Fallsa+Lane+at+Columbus+Blakely+PA+US,SWEET 16 Pro,$4700,power, (Blakely),BASSTRACKER 16' DEEP V,https://scranton.craigslist.org/boa/5851605450.html,
6,,2016-11-24 11:09,Older mercury 6 hp.runs good I just don't need it because I got a bigger motor. $140 obo. Clarks summit. Call or text. 57O 9Othree 592O,,5890599792,0,,,,$140,power, (S. Abington Twp),Mercury 6 hp outboard.,https://scranton.craigslist.org/boa/5890599792.html,1964
7,,2016-11-23 18:17,SELLING MY MANUAL RIVIERA DOWN RIGGER  WITH THE ORIGINAL 10 LB WEIGHT AND MOUNTING BRACKET. WORKS 100% WITH  NO ISSUES570-8ONE 4 6 THREE 2 THREE   ASKING 45.00,,5890006731,10,,"https://maps.google.com/maps/preview/@41.268900,-75.845300,16z",,$45,human,,RIVIERA DOWNRIGGER RIVIERA COMPLETE,https://scranton.craigslist.org/boa/5890006731.html,
8,new,2016-11-23 17:51,"C AND S TRUCK IS NOW A HUSTLER AND CHECKMATE POWERBOAT DEALER AND HAVE IN STOCK A 2017 HUSTLER MID CABIN OPEN BOW WITH A 540 MERCURY RACING ENGINE,BRAVO ITS DRIVE,FLY BY WIRE CONTROLS (NO CABLES),GARMIN GPS WITH INTEGRATED MECURY SMARTCRAFT,LIVORSI CONTROLS AND GAUGES,CARBON FIBER DASH,SONY BLUETOOTH STEREO WITH JL600 WATT AMP. PORTA POTTI,REFRIGERATOR,SS CLEATS,THRU HULL EXHAUST,AUTO FIRE EXTINGUISHING SYS.,CARBON FIBER DASH,SNAP OUT CARPET,WATER PSI GUAGE,FRESH WATER FLUSH,INTERIOR MOOD LIGHTING,COCKPIT COVER,FULL COVER,HAS RACEBOAT CONSTRUCTION WITH HAND LAY UP FIBERGLASS HULL, KEVLAR RESINS............. WWW.CSTRUCKSHOPPE.COM",6,5854716367,29,HUSTLER,https://maps.google.com/?q=loc%3A+%37+Ferry+Street+NANTICOKE+PA+US,ROCKET 29',,power,,2017 HUSTLER ROCKET 29' MC OPEN BOW,https://scranton.craigslist.org/bod/5854716367.html,2017
9,excellent,2016-11-23 14:01,"Loaded with standard features, bow cushions, anchor locker, changing room with pump out head, console storage.  Walk through windshield.  In floor storage.  Sink, Cup Holders, built in coolers, aft fill-in cushions to make a sunpad.  Swim platform with storage pod and with drop down SS ladder.Loaded with standard features, bow cushions, anchor locker, changing room with pump out head, console storage.  Walk through windshield.  In floor storage.  Sink, Cup Holders, built in coolers, aft fill-in cushions to make a sunpad.  Swim platform with storage pod and with drop down SS ladder.",140,5889508487,25,Stingray,,Mercruiser,$14000,power, (Latrobe),Stingray 250 LR w/5 L Mercruiser,https://scranton.craigslist.org/boa/5889508487.html,2007
